image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_0_0.jpg,8,0.5893898606300354,2086,1583,2418,2052
VAIPE_P_0_0.jpg,37,0.7697100639343262,1470,2365,1710,2712
VAIPE_P_0_1.jpg,37,0.5178307294845581,1293,1764,1673,2124
VAIPE_P_0_1.jpg,107,1.0,1692,2852,2262,3402
VAIPE_P_0_10.jpg,107,1.0,1104,1843,1708,2475
VAIPE_P_0_11.jpg,56,0.5073170065879822,1210,1928,1907,2380
VAIPE_P_0_12.jpg,37,0.7554221153259277,1249,1109,1746,1469
VAIPE_P_0_12.jpg,8,0.5128010511398315,1206,2136,1829,2639
VAIPE_P_0_13.jpg,37,0.5141710042953491,1145,2208,1469,2404
VAIPE_P_0_13.jpg,8,0.6791471838951111,2092,2200,2358,2659
VAIPE_P_0_14.jpg,56,0.7495209574699402,1197,1963,1814,2380
VAIPE_P_0_15.jpg,37,0.806868851184845,1645,2334,1922,2711
VAIPE_P_0_15.jpg,8,0.6224257946014404,706,2047,1049,2576
VAIPE_P_0_16.jpg,56,0.5580686330795288,1130,1677,1644,2256
VAIPE_P_0_17.jpg,37,0.7883091568946838,1485,2424,1993,2796
VAIPE_P_0_17.jpg,8,0.5939913392066956,782,1811,1476,2141
VAIPE_P_0_18.jpg,107,1.0,1065,1604,1457,2200
VAIPE_P_0_2.jpg,37,0.399569034576416,1349,2367,1628,2763
VAIPE_P_0_2.jpg,107,1.0,779,1904,1288,2302
VAIPE_P_0_3.jpg,56,0.3445588648319244,1202,1808,1985,2412
VAIPE_P_0_4.jpg,56,0.6943188905715942,1400,1724,1904,2304
VAIPE_P_0_5.jpg,56,0.6983209252357483,1425,1955,2082,2474
VAIPE_P_0_6.jpg,107,1.0,684,2401,1394,3042
VAIPE_P_0_7.jpg,37,0.2942602336406708,1164,2158,1475,2573
VAIPE_P_0_7.jpg,8,0.602918803691864,1472,1906,1788,2490
VAIPE_P_0_8.jpg,56,0.4472159147262573,819,1629,1442,2075
VAIPE_P_0_9.jpg,8,0.6454006433486938,1023,2468,1304,2941
VAIPE_P_0_9.jpg,37,0.8447625041007996,1370,1592,1602,1913
VAIPE_P_100_0.jpg,91,0.9930874705314636,1935,2147,2352,2906
VAIPE_P_100_0.jpg,43,0.5763460397720337,1912,494,2645,1393
VAIPE_P_100_0.jpg,2,0.8008257150650024,2092,1311,2438,2139
VAIPE_P_100_0.jpg,43,0.4932993650436401,2314,1461,2879,2383
VAIPE_P_100_0.jpg,2,0.7849351763725281,1727,1319,2120,2162
VAIPE_P_100_1.jpg,2,0.7961130142211914,2511,601,3078,1082
VAIPE_P_100_1.jpg,91,0.9878267645835876,2386,1108,2751,1663
VAIPE_P_100_1.jpg,2,0.8521004915237427,1397,1538,1780,2136
VAIPE_P_100_1.jpg,43,0.4771075546741485,1853,584,2515,1075
VAIPE_P_100_1.jpg,107,1.0,1688,1633,2383,1944
VAIPE_P_100_2.jpg,2,0.6976189017295837,1448,879,2068,1172
VAIPE_P_100_2.jpg,2,0.8728088736534119,2227,1541,2854,1852
VAIPE_P_100_2.jpg,91,0.9894877672195436,1117,1362,1612,1857
VAIPE_P_100_2.jpg,43,0.4387098550796509,1398,1630,2092,2049
VAIPE_P_100_2.jpg,43,0.4108456671237945,1905,883,2326,1549
VAIPE_P_100_3.jpg,91,0.9882194995880128,1819,1922,2163,2613
VAIPE_P_100_3.jpg,2,0.8736188411712646,2531,977,3011,1710
VAIPE_P_100_3.jpg,2,0.7899967432022095,2447,1647,2783,2437
VAIPE_P_100_3.jpg,107,1.0,1388,1632,1873,2488
VAIPE_P_100_3.jpg,43,0.5085134506225586,1689,1292,2483,1877
VAIPE_P_100_4.jpg,107,1.0,2875,970,3341,1429
VAIPE_P_100_4.jpg,107,1.0,1117,2346,1592,2839
VAIPE_P_100_4.jpg,107,1.0,1143,3,1903,740
VAIPE_P_100_4.jpg,107,1.0,1514,976,2420,1886
VAIPE_P_100_4.jpg,107,1.0,2319,258,2987,918
VAIPE_P_101_0.jpg,8,0.5873048305511475,1760,1403,2170,1927
VAIPE_P_101_0.jpg,64,0.7849038243293762,1970,2260,2408,2689
VAIPE_P_101_0.jpg,89,0.7157415151596069,1718,1824,2435,2271
VAIPE_P_101_1.jpg,107,1.0,1408,2638,1846,3200
VAIPE_P_101_1.jpg,64,0.7570850849151611,1446,1709,1872,2141
VAIPE_P_101_1.jpg,107,1.0,1898,1967,2612,2513
VAIPE_P_101_2.jpg,107,1.0,1638,2376,2038,3078
VAIPE_P_101_2.jpg,64,0.779330849647522,2185,1409,2714,1931
VAIPE_P_101_2.jpg,89,0.9698306322097778,757,2329,1668,2760
VAIPE_P_101_3.jpg,107,1.0,2200,1905,2534,2626
VAIPE_P_101_3.jpg,64,0.7818275094032288,849,3067,1392,3623
VAIPE_P_101_3.jpg,89,0.976015567779541,1101,2494,2038,3009
VAIPE_P_101_4.jpg,107,1.0,2704,673,3528,1563
VAIPE_P_101_4.jpg,107,1.0,1533,1002,2260,1918
VAIPE_P_101_4.jpg,107,1.0,1593,220,2438,1221
VAIPE_P_101_4.jpg,107,1.0,1114,2029,2203,2921
VAIPE_P_101_5.jpg,107,1.0,357,461,559,657
VAIPE_P_101_5.jpg,107,1.0,721,91,1066,560
VAIPE_P_101_5.jpg,107,1.0,493,792,1025,1316
VAIPE_P_102_0.jpg,43,0.6101085543632507,914,1133,1787,1822
VAIPE_P_102_0.jpg,89,0.9802125692367554,814,1887,1623,2364
VAIPE_P_102_1.jpg,89,0.9735748171806335,1057,2435,1570,2693
VAIPE_P_102_1.jpg,43,0.6127589344978333,1388,1922,1718,2500
VAIPE_P_102_2.jpg,43,0.5475745797157288,848,1030,1779,1380
VAIPE_P_102_2.jpg,89,0.9757088422775269,1196,1601,1634,2349
VAIPE_P_102_3.jpg,89,0.7946766018867493,1616,1509,1998,2287
VAIPE_P_102_3.jpg,43,0.6057866811752319,720,981,1704,1356
VAIPE_P_103_0.jpg,64,0.8087934851646423,1916,2786,2381,3273
VAIPE_P_103_0.jpg,64,0.7616996765136719,564,2585,1015,3063
VAIPE_P_103_0.jpg,107,1.0,1341,1918,1988,2353
VAIPE_P_103_0.jpg,10,0.8752404451370239,1828,1075,2408,1783
VAIPE_P_103_0.jpg,10,0.8670998811721802,465,1344,1087,2007
VAIPE_P_104_0.jpg,43,0.7597700953483582,483,2216,1425,2849
VAIPE_P_104_0.jpg,43,0.7185129523277283,891,1927,1818,2340
VAIPE_P_104_1.jpg,107,1.0,423,1821,997,2371
VAIPE_P_104_1.jpg,107,1.0,1102,1575,1857,2102
VAIPE_P_104_1.jpg,107,1.0,263,2330,1099,2895
VAIPE_P_104_2.jpg,107,1.0,555,169,893,648
VAIPE_P_104_2.jpg,107,1.0,988,667,1178,857
VAIPE_P_104_2.jpg,107,1.0,902,226,1214,540
VAIPE_P_104_2.jpg,107,1.0,574,732,835,1070
VAIPE_P_105_0.jpg,107,1.0,302,416,398,508
VAIPE_P_105_0.jpg,31,0.9705979228019714,506,292,601,391
VAIPE_P_105_1.jpg,45,0.2416494637727737,592,490,720,618
VAIPE_P_105_1.jpg,31,0.9397196769714355,161,331,302,473
VAIPE_P_105_2.jpg,31,0.7062626481056213,672,485,774,581
VAIPE_P_105_2.jpg,45,0.2110209167003631,449,237,534,323
VAIPE_P_105_3.jpg,45,0.2759857475757599,546,139,660,251
VAIPE_P_105_3.jpg,31,0.8759675621986389,450,715,585,848
VAIPE_P_105_4.jpg,107,1.0,285,153,413,285
VAIPE_P_105_4.jpg,31,0.9004139304161072,177,441,316,576
VAIPE_P_105_5.jpg,31,0.8657393455505371,424,370,568,531
VAIPE_P_105_5.jpg,107,1.0,549,347,690,500
VAIPE_P_106_0.jpg,104,0.609105110168457,1242,1889,2351,2314
VAIPE_P_106_0.jpg,91,0.9938839077949524,1325,2276,2016,3005
VAIPE_P_106_1.jpg,91,0.9873008728027344,1578,2228,2106,2990
VAIPE_P_106_1.jpg,104,0.6654196381568909,1794,1713,2382,2785
VAIPE_P_106_2.jpg,91,0.9922364354133606,885,2134,1639,2793
VAIPE_P_106_2.jpg,104,0.5658338069915771,1458,2914,2704,3445
VAIPE_P_106_3.jpg,104,0.4330893754959106,1812,2958,2836,3457
VAIPE_P_106_3.jpg,91,0.9918431639671326,1581,2290,2292,2700
VAIPE_P_106_4.jpg,91,0.9923743605613708,2616,1126,2950,1749
VAIPE_P_106_4.jpg,104,0.6196536421775818,2128,1005,2519,1880
VAIPE_P_106_5.jpg,91,0.9915749430656432,1008,2300,1538,2910
VAIPE_P_106_5.jpg,104,0.4750009477138519,1947,1718,2350,2645
VAIPE_P_106_6.jpg,91,0.99186772108078,1152,2289,1715,2775
VAIPE_P_106_6.jpg,104,0.5133646130561829,1682,1907,2310,2748
VAIPE_P_106_7.jpg,91,0.9614214897155762,1974,1467,2407,1741
VAIPE_P_106_7.jpg,104,0.4234973192214966,2031,784,2399,1362
VAIPE_P_106_8.jpg,107,1.0,2098,2054,2617,2676
VAIPE_P_106_8.jpg,107,1.0,2279,1290,2764,1880
VAIPE_P_106_8.jpg,107,1.0,1096,1855,1920,2783
VAIPE_P_106_8.jpg,107,1.0,1130,346,2199,1616
VAIPE_P_106_8.jpg,107,1.0,2216,245,3303,1077
VAIPE_P_107_0.jpg,107,1.0,1676,1357,2130,1997
VAIPE_P_107_0.jpg,10,0.8262743949890137,1058,1252,1730,1929
VAIPE_P_107_1.jpg,107,1.0,1807,869,2311,1558
VAIPE_P_107_1.jpg,10,0.8238431811332703,1164,763,1853,1506
VAIPE_P_107_2.jpg,90,0.4263527989387512,1001,1431,2022,1937
VAIPE_P_107_2.jpg,10,0.8038415908813477,592,2047,1733,2823
VAIPE_P_107_3.jpg,10,0.7048205733299255,1710,776,2363,1209
VAIPE_P_107_3.jpg,107,1.0,1527,1473,2094,1906
VAIPE_P_108_0.jpg,7,0.3356824517250061,799,2352,1133,2689
VAIPE_P_108_0.jpg,26,0.5987981557846069,1048,2157,1827,2856
VAIPE_P_108_1.jpg,107,1.0,1042,1756,1433,2162
VAIPE_P_108_1.jpg,26,0.790888786315918,1035,2319,2034,2873
VAIPE_P_108_2.jpg,7,0.3016438484191894,1034,2327,1397,2716
VAIPE_P_108_2.jpg,26,0.8001903295516968,1321,1581,1951,2502
VAIPE_P_108_3.jpg,107,1.0,880,2374,1270,2775
VAIPE_P_108_3.jpg,26,0.7767592072486877,530,1974,1592,2512
VAIPE_P_108_4.jpg,7,0.1919075846672058,966,1536,1390,1962
VAIPE_P_108_4.jpg,26,0.6979191899299622,952,2225,1704,3187
VAIPE_P_108_5.jpg,107,1.0,857,1753,1186,2069
VAIPE_P_108_5.jpg,26,0.5969826579093933,1003,1986,1755,2569
VAIPE_P_108_6.jpg,107,1.0,1456,2064,1803,2419
VAIPE_P_108_6.jpg,107,1.0,1462,1531,2020,1885
VAIPE_P_108_6.jpg,107,1.0,792,2105,1549,2858
VAIPE_P_108_6.jpg,107,1.0,456,1038,1347,1925
VAIPE_P_108_7.jpg,107,1.0,1556,1363,2052,1928
VAIPE_P_108_7.jpg,107,1.0,615,1811,1258,2788
VAIPE_P_108_7.jpg,107,1.0,2367,1902,3420,2589
VAIPE_P_108_7.jpg,107,1.0,2544,1157,3522,1836
VAIPE_P_108_7.jpg,107,1.0,1356,256,2193,1258
VAIPE_P_108_7.jpg,107,1.0,1253,2120,2161,3022
VAIPE_P_109_0.jpg,46,0.6716499924659729,357,604,474,720
VAIPE_P_109_0.jpg,8,0.5799314379692078,121,777,338,951
VAIPE_P_109_1.jpg,46,0.4184501469135284,496,334,589,437
VAIPE_P_109_1.jpg,107,1.0,408,527,607,671
VAIPE_P_109_2.jpg,107,1.0,764,2005,1068,2312
VAIPE_P_109_2.jpg,107,1.0,828,1772,1303,2285
VAIPE_P_109_2.jpg,107,1.0,875,2276,1369,2759
VAIPE_P_109_2.jpg,107,1.0,1519,1949,2004,2427
VAIPE_P_109_2.jpg,107,1.0,1194,1299,1866,2067
VAIPE_P_109_3.jpg,107,1.0,560,1670,972,2070
VAIPE_P_109_3.jpg,107,1.0,1745,2176,2138,2745
VAIPE_P_109_3.jpg,107,1.0,830,2397,1328,2896
VAIPE_P_109_3.jpg,107,1.0,835,1910,1324,2395
VAIPE_P_109_4.jpg,107,1.0,433,428,541,528
VAIPE_P_109_4.jpg,107,1.0,248,870,351,973
VAIPE_P_109_4.jpg,107,1.0,308,630,508,831
VAIPE_P_10_0.jpg,54,0.6594429016113281,1102,1983,1628,2511
VAIPE_P_110_0.jpg,54,0.6752327084541321,1147,1699,1699,2229
VAIPE_P_111_0.jpg,2,0.8715209364891052,817,1580,1199,2393
VAIPE_P_111_0.jpg,91,0.993049144744873,1349,2060,2107,2454
VAIPE_P_111_0.jpg,43,0.6920004487037659,997,1337,1795,2039
VAIPE_P_111_0.jpg,43,0.7175294756889343,443,1293,935,2203
VAIPE_P_111_0.jpg,2,0.9141488075256348,1351,2435,1985,3191
VAIPE_P_111_1.jpg,107,1.0,787,1889,1490,2205
VAIPE_P_111_1.jpg,107,1.0,1880,1473,2429,1910
VAIPE_P_111_1.jpg,107,1.0,1285,1397,1918,1700
VAIPE_P_112_0.jpg,54,0.7616236805915833,1140,1989,1546,2376
VAIPE_P_112_1.jpg,46,0.5984008312225342,933,2099,1174,2343
VAIPE_P_112_1.jpg,54,0.5850085616111755,1139,1975,1570,2396
VAIPE_P_112_2.jpg,107,1.0,313,318,552,551
VAIPE_P_112_2.jpg,107,1.0,698,216,990,514
VAIPE_P_112_2.jpg,107,1.0,317,822,643,1125
VAIPE_P_112_2.jpg,107,1.0,900,818,1282,1196
VAIPE_P_113_0.jpg,10,0.7055128812789917,125,348,202,385
VAIPE_P_113_0.jpg,10,0.7376143932342529,128,110,193,164
VAIPE_P_113_0.jpg,91,0.8464962244033813,135,230,198,260
VAIPE_P_113_0.jpg,91,0.904354214668274,28,226,90,265
VAIPE_P_113_1.jpg,107,1.0,435,341,511,462
VAIPE_P_113_1.jpg,107,1.0,361,449,450,540
VAIPE_P_113_1.jpg,107,1.0,492,279,632,450
VAIPE_P_113_1.jpg,107,1.0,494,526,582,618
VAIPE_P_113_1.jpg,107,1.0,533,309,758,524
VAIPE_P_114_0.jpg,10,0.748557448387146,139,170,176,231
VAIPE_P_114_0.jpg,91,0.6113632321357727,83,259,133,301
VAIPE_P_114_1.jpg,107,1.0,772,2365,1256,2730
VAIPE_P_114_1.jpg,107,1.0,1794,1615,2140,1931
